id,workload,label,engine,artifact,runs_ms,mean_ms,median_ms,stdev_ms,min_ms,max_ms,notes
vector_rr_o2,vector,Vector Fusion RR O2,Rscript,/Users/feral/Desktop/Programming/RR/target/backend_candidate_bench/vector/vector_rr_o2.R,156.0;176.8;148.1,160.3,156.0,14.8,148.1,176.8,RR-emitted R on GNU R
vector_rr_o2_warm,vector,Vector Fusion RR O2 warm x10,Rscript,/Users/feral/Desktop/Programming/RR/target/backend_candidate_bench/vector/vector_rr_o2_warm.R,18.0;17.0;19.2,18.1,18.0,1.1,17.0,19.2,RR-emitted kernel averaged across repeated warm calls in one R process
vector_native,vector,Vector Fusion native,Rscript,/Users/feral/Desktop/Programming/RR/target/backend_candidate_bench/vector/vector_native.R,168.3;161.3;152.3,160.6,161.3,8.1,152.3,168.3,required native backend
vector_native_warm,vector,Vector Fusion native warm x10,Rscript,/Users/feral/Desktop/Programming/RR/target/backend_candidate_bench/vector/vector_native_warm.R,18.5;17.6;21.8,19.3,18.5,2.2,17.6,21.8,required native backend averaged across repeated warm calls
vector_parallel_r,vector,Vector Fusion parallel R,Rscript,/Users/feral/Desktop/Programming/RR/target/backend_candidate_bench/vector/vector_parallel_r.R,202.6;158.3;177.8,179.6,177.8,22.2,158.3,202.6,required R parallel backend
vector_parallel_r_warm,vector,Vector Fusion parallel R warm x10,Rscript,/Users/feral/Desktop/Programming/RR/target/backend_candidate_bench/vector/vector_parallel_r_warm.R,18.3;17.0;16.2,17.2,17.0,1.0,16.2,18.3,required R parallel backend averaged across repeated warm calls
vector_native_openmp,vector,Vector Fusion native + OpenMP,Rscript,/Users/feral/Desktop/Programming/RR/target/backend_candidate_bench/vector/vector_native_openmp.R,145.9;147.2;151.7,148.3,147.2,3.1,145.9,151.7,required native backend plus OpenMP parallel backend
vector_native_openmp_warm,vector,Vector Fusion native + OpenMP warm x10,Rscript,/Users/feral/Desktop/Programming/RR/target/backend_candidate_bench/vector/vector_native_openmp_warm.R,18.5;17.1;19.6,18.4,18.5,1.2,17.1,19.6,required native backend plus OpenMP averaged across repeated warm calls
orbital_rr_o2,orbital,Orbital Sweep RR O2,Rscript,/Users/feral/Desktop/Programming/RR/target/backend_candidate_bench/orbital/orbital_rr_o2.R,197.4;210.3;200.0,202.6,200.0,6.8,197.4,210.3,RR-emitted R on GNU R
orbital_rr_o2_warm,orbital,Orbital Sweep RR O2 warm x10,Rscript,/Users/feral/Desktop/Programming/RR/target/backend_candidate_bench/orbital/orbital_rr_o2_warm.R,75.3;83.1;74.7,77.7,75.3,4.7,74.7,83.1,RR-emitted kernel averaged across repeated warm calls in one R process
orbital_native,orbital,Orbital Sweep native,Rscript,/Users/feral/Desktop/Programming/RR/target/backend_candidate_bench/orbital/orbital_native.R,194.6;192.9;201.9,196.5,194.6,4.8,192.9,201.9,required native backend
orbital_native_warm,orbital,Orbital Sweep native warm x10,Rscript,/Users/feral/Desktop/Programming/RR/target/backend_candidate_bench/orbital/orbital_native_warm.R,72.6;74.1;78.8,75.2,74.1,3.3,72.6,78.8,required native backend averaged across repeated warm calls
orbital_parallel_r,orbital,Orbital Sweep parallel R,Rscript,/Users/feral/Desktop/Programming/RR/target/backend_candidate_bench/orbital/orbital_parallel_r.R,201.0;193.8;182.0,192.3,193.8,9.6,182.0,201.0,required R parallel backend
orbital_parallel_r_warm,orbital,Orbital Sweep parallel R warm x10,Rscript,/Users/feral/Desktop/Programming/RR/target/backend_candidate_bench/orbital/orbital_parallel_r_warm.R,79.0;75.2;75.4,76.5,75.4,2.1,75.2,79.0,required R parallel backend averaged across repeated warm calls
orbital_native_openmp,orbital,Orbital Sweep native + OpenMP,Rscript,/Users/feral/Desktop/Programming/RR/target/backend_candidate_bench/orbital/orbital_native_openmp.R,202.5;194.0;200.8,199.1,200.8,4.5,194.0,202.5,required native backend plus OpenMP parallel backend
orbital_native_openmp_warm,orbital,Orbital Sweep native + OpenMP warm x10,Rscript,/Users/feral/Desktop/Programming/RR/target/backend_candidate_bench/orbital/orbital_native_openmp_warm.R,80.3;74.1;74.5,76.3,74.5,3.5,74.1,80.3,required native backend plus OpenMP averaged across repeated warm calls
bootstrap_rr_o2,bootstrap,Bootstrap Resample RR O2,Rscript,/Users/feral/Desktop/Programming/RR/target/backend_candidate_bench/bootstrap/bootstrap_rr_o2.R,314.2;313.8;312.8,313.6,313.8,0.7,312.8,314.2,RR-emitted R on GNU R
bootstrap_rr_o2_warm,bootstrap,Bootstrap Resample RR O2 warm x10,Rscript,/Users/feral/Desktop/Programming/RR/target/backend_candidate_bench/bootstrap/bootstrap_rr_o2_warm.R,172.5;178.8;173.7,175.0,173.7,3.4,172.5,178.8,RR-emitted kernel averaged across repeated warm calls in one R process
bootstrap_native,bootstrap,Bootstrap Resample native,Rscript,/Users/feral/Desktop/Programming/RR/target/backend_candidate_bench/bootstrap/bootstrap_native.R,325.8;328.2;303.1,319.1,325.8,13.8,303.1,328.2,required native backend
bootstrap_native_warm,bootstrap,Bootstrap Resample native warm x10,Rscript,/Users/feral/Desktop/Programming/RR/target/backend_candidate_bench/bootstrap/bootstrap_native_warm.R,177.0;178.2;171.7,175.6,177.0,3.5,171.7,178.2,required native backend averaged across repeated warm calls
bootstrap_parallel_r,bootstrap,Bootstrap Resample parallel R,Rscript,/Users/feral/Desktop/Programming/RR/target/backend_candidate_bench/bootstrap/bootstrap_parallel_r.R,325.8;312.8;320.4,319.7,320.4,6.5,312.8,325.8,required R parallel backend
bootstrap_parallel_r_warm,bootstrap,Bootstrap Resample parallel R warm x10,Rscript,/Users/feral/Desktop/Programming/RR/target/backend_candidate_bench/bootstrap/bootstrap_parallel_r_warm.R,177.8;172.8;168.2,172.9,172.8,4.8,168.2,177.8,required R parallel backend averaged across repeated warm calls
