id,workload,label,engine,artifact,runs_ms,mean_ms,median_ms,stdev_ms,min_ms,max_ms,notes,emit_lines,emit_bytes,emit_for_loops,emit_repeat_loops,emit_rr_index_reads,emit_rr_index_writes,emit_rr_call_map_helpers,emit_assign_slice_helpers,emit_sym_helpers,pulse_vectorized,pulse_reduced,pulse_vector_loops_seen,pulse_vector_skipped,pulse_vector_candidate_total,pulse_vector_candidate_reductions,pulse_vector_candidate_conditionals,pulse_vector_candidate_recurrences,pulse_vector_candidate_shifted,pulse_vector_candidate_call_maps,pulse_vector_candidate_expr_maps,pulse_vector_candidate_scatters,pulse_vector_candidate_cube_slices,pulse_vector_candidate_basic_maps,pulse_vector_candidate_multi_exprs,pulse_vector_candidate_2d,pulse_vector_candidate_3d,pulse_vector_candidate_call_map_direct,pulse_vector_candidate_call_map_runtime,pulse_vector_applied_total,pulse_vector_applied_reductions,pulse_vector_applied_conditionals,pulse_vector_applied_recurrences,pulse_vector_applied_shifted,pulse_vector_applied_call_maps,pulse_vector_applied_expr_maps,pulse_vector_applied_scatters,pulse_vector_applied_cube_slices,pulse_vector_applied_basic_maps,pulse_vector_applied_multi_exprs,pulse_vector_applied_2d,pulse_vector_applied_3d,pulse_vector_applied_call_map_direct,pulse_vector_applied_call_map_runtime,pulse_vector_trip_tier_tiny,pulse_vector_trip_tier_small,pulse_vector_trip_tier_medium,pulse_vector_trip_tier_large,pulse_simplified_loops,pulse_licm_hits,pulse_sccp_hits,pulse_gvn_hits,pulse_bce_hits,pulse_simplify_hits,pulse_dce_hits
vector_rr_o0,vector,Vector Fusion RR O0,Rscript,/Users/feral/Desktop/Programming/RR/target/backend_candidate_bench/vector/vector_rr_o0.R,566.4,566.4,566.4,0.0,566.4,566.4,RR-emitted R on GNU R at -O0,106,3137,0,4,0,0,0,0,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
vector_rr_o0_warm,vector,Vector Fusion RR O0 warm x10,Rscript,/Users/feral/Desktop/Programming/RR/target/backend_candidate_bench/vector/vector_rr_o0_warm.R,371.4,371.4,371.4,0.0,371.4,371.4,RR-emitted O0 kernel averaged across repeated warm calls in one R process,106,3137,0,4,0,0,0,0,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
vector_rr_o1,vector,Vector Fusion RR O1,Rscript,/Users/feral/Desktop/Programming/RR/target/backend_candidate_bench/vector/vector_rr_o1.R,223.9,223.9,223.9,0.0,223.9,223.9,RR-emitted R on GNU R at -O1,75,2623,0,1,0,0,0,0,2,2,2,30,26,4,2,0,0,0,0,2,0,0,0,0,0,0,0,0,4,2,0,0,0,0,2,0,0,0,0,0,0,0,0,0,1,29,0,3,1,0,6,5,28,1
vector_rr_o1_warm,vector,Vector Fusion RR O1 warm x10,Rscript,/Users/feral/Desktop/Programming/RR/target/backend_candidate_bench/vector/vector_rr_o1_warm.R,27.2,27.2,27.2,0.0,27.2,27.2,RR-emitted O1 kernel averaged across repeated warm calls in one R process,75,2623,0,1,0,0,0,0,2,2,2,30,26,4,2,0,0,0,0,2,0,0,0,0,0,0,0,0,4,2,0,0,0,0,2,0,0,0,0,0,0,0,0,0,1,29,0,3,1,0,6,5,28,1
vector_rr_o2,vector,Vector Fusion RR O2,Rscript,/Users/feral/Desktop/Programming/RR/target/backend_candidate_bench/vector/vector_rr_o2.R,237.3,237.3,237.3,0.0,237.3,237.3,RR-emitted R on GNU R at -O2,75,2623,0,1,0,0,0,0,2,2,2,30,26,4,2,0,0,0,0,2,0,0,0,0,0,0,0,0,4,2,0,0,0,0,2,0,0,0,0,0,0,0,0,0,1,29,0,3,1,0,6,5,28,1
vector_rr_o2_warm,vector,Vector Fusion RR O2 warm x10,Rscript,/Users/feral/Desktop/Programming/RR/target/backend_candidate_bench/vector/vector_rr_o2_warm.R,30.2,30.2,30.2,0.0,30.2,30.2,RR-emitted O2 kernel averaged across repeated warm calls in one R process,75,2623,0,1,0,0,0,0,2,2,2,30,26,4,2,0,0,0,0,2,0,0,0,0,0,0,0,0,4,2,0,0,0,0,2,0,0,0,0,0,0,0,0,0,1,29,0,3,1,0,6,5,28,1
orbital_rr_o0,orbital,Orbital Sweep RR O0,Rscript,/Users/feral/Desktop/Programming/RR/target/backend_candidate_bench/orbital/orbital_rr_o0.R,294.7,294.7,294.7,0.0,294.7,294.7,RR-emitted R on GNU R at -O0,108,3295,0,3,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
orbital_rr_o0_warm,orbital,Orbital Sweep RR O0 warm x10,Rscript,/Users/feral/Desktop/Programming/RR/target/backend_candidate_bench/orbital/orbital_rr_o0_warm.R,129.7,129.7,129.7,0.0,129.7,129.7,RR-emitted O0 kernel averaged across repeated warm calls in one R process,108,3295,0,3,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
orbital_rr_o1,orbital,Orbital Sweep RR O1,Rscript,/Users/feral/Desktop/Programming/RR/target/backend_candidate_bench/orbital/orbital_rr_o1.R,304.2,304.2,304.2,0.0,304.2,304.2,RR-emitted R on GNU R at -O1,106,3228,0,3,0,0,0,0,3,1,2,19,16,3,2,0,0,0,0,1,0,0,0,0,0,0,0,0,3,2,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,11,7,3,1,0,6,4,26,1
orbital_rr_o1_warm,orbital,Orbital Sweep RR O1 warm x10,Rscript,/Users/feral/Desktop/Programming/RR/target/backend_candidate_bench/orbital/orbital_rr_o1_warm.R,122.3,122.3,122.3,0.0,122.3,122.3,RR-emitted O1 kernel averaged across repeated warm calls in one R process,106,3228,0,3,0,0,0,0,3,1,2,19,16,3,2,0,0,0,0,1,0,0,0,0,0,0,0,0,3,2,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,11,7,3,1,0,6,4,26,1
