id,workload,label,engine,artifact,runs_ms,mean_ms,median_ms,stdev_ms,min_ms,max_ms,notes,emit_lines,emit_bytes,emit_for_loops,emit_repeat_loops,emit_rr_index_reads,emit_rr_index_writes,emit_rr_call_map_helpers,emit_assign_slice_helpers,emit_sym_helpers,pulse_vectorized,pulse_reduced,pulse_vector_loops_seen,pulse_vector_skipped,pulse_vector_candidate_total,pulse_vector_candidate_reductions,pulse_vector_candidate_conditionals,pulse_vector_candidate_recurrences,pulse_vector_candidate_shifted,pulse_vector_candidate_call_maps,pulse_vector_candidate_expr_maps,pulse_vector_candidate_scatters,pulse_vector_candidate_cube_slices,pulse_vector_candidate_basic_maps,pulse_vector_candidate_multi_exprs,pulse_vector_candidate_2d,pulse_vector_candidate_3d,pulse_vector_candidate_call_map_direct,pulse_vector_candidate_call_map_runtime,pulse_vector_applied_total,pulse_vector_applied_reductions,pulse_vector_applied_conditionals,pulse_vector_applied_recurrences,pulse_vector_applied_shifted,pulse_vector_applied_call_maps,pulse_vector_applied_expr_maps,pulse_vector_applied_scatters,pulse_vector_applied_cube_slices,pulse_vector_applied_basic_maps,pulse_vector_applied_multi_exprs,pulse_vector_applied_2d,pulse_vector_applied_3d,pulse_vector_applied_call_map_direct,pulse_vector_applied_call_map_runtime,pulse_vector_trip_tier_tiny,pulse_vector_trip_tier_small,pulse_vector_trip_tier_medium,pulse_vector_trip_tier_large,pulse_simplified_loops,pulse_licm_hits,pulse_sccp_hits,pulse_gvn_hits,pulse_bce_hits,pulse_simplify_hits,pulse_dce_hits
heat_rr_o0,heat,Heat Diffusion RR O0,Rscript,/Users/feral/Desktop/Programming/RR/target/tmp/week4_diffusion_signoff/heat/heat_rr_o0.R,233.5;218.4;227.5,226.5,227.5,7.6,218.4,233.5,RR-emitted R on GNU R at -O0,118,4069,3,1,0,0,0,0,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
heat_rr_o0_warm,heat,Heat Diffusion RR O0 warm x10,Rscript,/Users/feral/Desktop/Programming/RR/target/tmp/week4_diffusion_signoff/heat/heat_rr_o0_warm.R,104.3;96.8;96.9,99.3,96.9,4.3,96.8,104.3,RR-emitted O0 kernel averaged across repeated warm calls in one R process,118,4069,3,1,0,0,0,0,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
heat_rr_o1,heat,Heat Diffusion RR O1,Rscript,/Users/feral/Desktop/Programming/RR/target/tmp/week4_diffusion_signoff/heat/heat_rr_o1.R,169.2;167.7;188.3,175.0,169.2,11.5,167.7,188.3,RR-emitted R on GNU R at -O1,214,7688,0,1,3,0,0,1,2,2,1,30,27,3,1,0,0,0,0,2,0,0,0,0,0,0,0,0,3,1,0,0,0,0,2,0,0,0,0,0,0,0,0,0,1,5,24,3,1,0,5,5,26,1
heat_rr_o1_warm,heat,Heat Diffusion RR O1 warm x10,Rscript,/Users/feral/Desktop/Programming/RR/target/tmp/week4_diffusion_signoff/heat/heat_rr_o1_warm.R,20.7;21.6;20.3,20.9,20.7,0.7,20.3,21.6,RR-emitted O1 kernel averaged across repeated warm calls in one R process,214,7688,0,1,3,0,0,1,2,2,1,30,27,3,1,0,0,0,0,2,0,0,0,0,0,0,0,0,3,1,0,0,0,0,2,0,0,0,0,0,0,0,0,0,1,5,24,3,1,0,5,5,26,1
heat_rr_o2,heat,Heat Diffusion RR O2,Rscript,/Users/feral/Desktop/Programming/RR/target/tmp/week4_diffusion_signoff/heat/heat_rr_o2.R,181.3;161.3;167.9,170.2,167.9,10.2,161.3,181.3,RR-emitted R on GNU R at -O2,214,7688,0,1,3,0,0,1,2,2,1,30,27,3,1,0,0,0,0,2,0,0,0,0,0,0,0,0,3,1,0,0,0,0,2,0,0,0,0,0,0,0,0,0,1,5,24,3,1,0,5,5,26,1
heat_rr_o2_warm,heat,Heat Diffusion RR O2 warm x10,Rscript,/Users/feral/Desktop/Programming/RR/target/tmp/week4_diffusion_signoff/heat/heat_rr_o2_warm.R,22.1;19.5;22.9,21.5,22.1,1.8,19.5,22.9,RR-emitted O2 kernel averaged across repeated warm calls in one R process,214,7688,0,1,3,0,0,1,2,2,1,30,27,3,1,0,0,0,0,2,0,0,0,0,0,0,0,0,3,1,0,0,0,0,2,0,0,0,0,0,0,0,0,0,1,5,24,3,1,0,5,5,26,1
reaction_rr_o0,reaction,Reaction Diffusion RR O0,Rscript,/Users/feral/Desktop/Programming/RR/target/tmp/week4_diffusion_signoff/reaction/reaction_rr_o0.R,530.1;561.2;528.0,539.8,530.1,18.6,528.0,561.2,RR-emitted R on GNU R at -O0,131,4438,3,2,0,0,0,0,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
reaction_rr_o0_warm,reaction,Reaction Diffusion RR O0 warm x10,Rscript,/Users/feral/Desktop/Programming/RR/target/tmp/week4_diffusion_signoff/reaction/reaction_rr_o0_warm.R,427.1;410.7;414.3,417.4,414.3,8.6,410.7,427.1,RR-emitted O0 kernel averaged across repeated warm calls in one R process,131,4438,3,2,0,0,0,0,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
reaction_rr_o1,reaction,Reaction Diffusion RR O1,Rscript,/Users/feral/Desktop/Programming/RR/target/tmp/week4_diffusion_signoff/reaction/reaction_rr_o1.R,172.1;185.7;183.6,180.5,183.6,7.4,172.1,185.7,RR-emitted R on GNU R at -O1,222,8243,0,1,3,0,0,2,2,3,1,31,27,4,1,0,0,0,0,2,0,0,0,1,0,0,0,0,4,1,0,0,0,0,2,0,0,0,1,0,0,0,0,0,1,6,24,3,1,0,5,5,26,2
reaction_rr_o1_warm,reaction,Reaction Diffusion RR O1 warm x10,Rscript,/Users/feral/Desktop/Programming/RR/target/tmp/week4_diffusion_signoff/reaction/reaction_rr_o1_warm.R,26.9;27.0;24.8,26.2,26.9,1.2,24.8,27.0,RR-emitted O1 kernel averaged across repeated warm calls in one R process,222,8243,0,1,3,0,0,2,2,3,1,31,27,4,1,0,0,0,0,2,0,0,0,1,0,0,0,0,4,1,0,0,0,0,2,0,0,0,1,0,0,0,0,0,1,6,24,3,1,0,5,5,26,2
