id,label,engine,artifact,runs_ms,mean_ms,median_ms,stdev_ms,min_ms,max_ms,notes
direct_r_scalar,Direct base R (scalar),Rscript,/Users/feral/Desktop/Programming/RR/target/signal_pipeline_bench/signal_pipeline_direct_r_scalar.R,2003.1;2050.8;2045.3,2033.1,2045.3,26.1,2003.1,2050.8,loop-based scalar base-R baseline
direct_r_vector,Direct base R (vectorized),Rscript,/Users/feral/Desktop/Programming/RR/target/signal_pipeline_bench/signal_pipeline_direct_r_vector.R,345.3;325.2;311.8,327.4,325.2,16.9,311.8,345.3,idiomatic base-R vector baseline
direct_r_vector_warm,"Direct base R (vectorized, warm avg x10)",Rscript,/Users/feral/Desktop/Programming/RR/target/signal_pipeline_bench/signal_pipeline_direct_r_vector_warm.R,181.6;188.5;183.4,184.5,183.4,3.6,181.6,188.5,same vector kernel averaged across repeated warm calls in one R process
rr_o2_gnur,RR O2 on GNU R,Rscript,/Users/feral/Desktop/Programming/RR/target/signal_pipeline_bench/signal_pipeline_rr_o2.R,301.9;309.9;317.8,309.9,309.9,7.9,301.9,317.8,RR-emitted R from example/benchmarks/signal_pipeline_bench.rr
rr_o2_gnur_warm,RR O2 on GNU R (warm avg x10),Rscript,/Users/feral/Desktop/Programming/RR/target/signal_pipeline_bench/signal_pipeline_rr_o2_warm.R,195.7;194.9;197.4,196.0,195.7,1.3,194.9,197.4,RR-emitted kernel averaged across repeated warm calls in one R process
rr_o2_native_gnur,RR O2 native on GNU R,Rscript,/Users/feral/Desktop/Programming/RR/target/signal_pipeline_bench/signal_pipeline_rr_o2_native.R,704.8;418.8;428.1,517.2,428.1,162.5,418.8,704.8,RR-emitted kernel with required native backend
rr_o2_native_gnur_warm,RR O2 native on GNU R (warm avg x10),Rscript,/Users/feral/Desktop/Programming/RR/target/signal_pipeline_bench/signal_pipeline_rr_o2_native_warm.R,240.6;206.7;215.0,220.7,215.0,17.7,206.7,240.6,RR native kernel averaged across repeated warm calls in one R process
rr_o2_parallel_r_gnur,RR O2 parallel R (4 workers) on GNU R,Rscript,/Users/feral/Desktop/Programming/RR/target/signal_pipeline_bench/signal_pipeline_rr_o2_parallel_r.R,1540.7;1517.5;1593.8,1550.7,1540.7,39.1,1517.5,1593.8,RR-emitted kernel with required R parallel backend
rr_o2_parallel_r_gnur_warm,RR O2 parallel R (4 workers) on GNU R (warm avg x10),Rscript,/Users/feral/Desktop/Programming/RR/target/signal_pipeline_bench/signal_pipeline_rr_o2_parallel_r_warm.R,1465.9;1426.8;1461.0,1451.2,1461.0,21.3,1426.8,1465.9,RR parallel-R kernel averaged across repeated warm calls in one R process
rr_o2_native_openmp_gnur,RR O2 native + OpenMP (4 threads) on GNU R,Rscript,/Users/feral/Desktop/Programming/RR/target/signal_pipeline_bench/signal_pipeline_rr_o2_native_openmp.R,743.0;427.7;439.2,536.6,439.2,178.8,427.7,743.0,RR-emitted kernel with required native backend and OpenMP parallel backend
rr_o2_native_openmp_gnur_warm,RR O2 native + OpenMP (4 threads) on GNU R (warm avg x10),Rscript,/Users/feral/Desktop/Programming/RR/target/signal_pipeline_bench/signal_pipeline_rr_o2_native_openmp_warm.R,246.0;209.5;218.8,224.8,218.8,19.0,209.5,246.0,RR native+OpenMP kernel averaged across repeated warm calls in one R process
c_o3,C O3 native,clang 17,/Users/feral/Desktop/Programming/RR/target/signal_pipeline_bench/signal_pipeline_c,21.0;17.5;17.0,18.5,17.5,2.2,17.0,21.0,single-threaded clang -O3 build
numpy,NumPy,python3,/Users/feral/Desktop/Programming/RR/target/signal_pipeline_bench/signal_pipeline_numpy.py,172.3;151.4;165.0,162.9,165.0,10.6,151.4,172.3,vectorized array math on CPython
julia,Julia,julia,/Users/feral/Desktop/Programming/RR/target/signal_pipeline_bench/signal_pipeline.jl,454.5;449.4;441.3,448.4,449.4,6.7,441.3,454.5,Base Julia loops with @inbounds
